Date,Title,ImageLink,Link,Description
16 seconds ago,Judge’s Absence Stalls Fayose’s Trial,https://www.naijanews.com/wp-content/uploads/2022/10/Ayodele-Fayose-3-1025-400x240.webp,https://www.naijanews.com/2024/04/25/judges-absence-stalls-fayoses-trial/,"The ongoing trial of former Ekiti Governor, Ayodele Fayose, facing allegations of N6.9 billion fraud and money laundering, has been adjourned to July 1, 2024, due..."
30 mins ago,House Of Reps To Probe Discrimination Against Nigerians By Abuja Chinese Supermarket,https://www.naijanews.com/wp-content/uploads/2024/04/Abuja-Chinese-Supermarket-1-400x240.jpg.webp,https://www.naijanews.com/2024/04/25/house-of-reps-to-probe-discrimination-against-nigerians-by-abuja-chinese-supermarket/,"The House of Representatives is set to probe a Chinese supermarket based in Abuja, which allegedly prevents Nigerians from shopping from it. In a statement on..."
39 mins ago,Breaking: Prison Official Reacts As 119 Inmates Escape Suleja Prison,https://www.naijanews.com/wp-content/uploads/2024/04/Suleja-Prison-400x240.jpg.webp,https://www.naijanews.com/2024/04/25/breaking-prison-official-reacts-as-119-inmates-escape-suleja-prison/,"The Nigeria Correctional Service has reacted to the breach that occurred at the Medium Security Custodial Centre in Suleja, Niger State, resulting in the escape of..."
1 hour ago,Inmates Flee As Rainstorm Wreaks Havoc At Suleja Prison,https://www.naijanews.com/wp-content/uploads/2024/04/Suleja-Prison-400x240.jpg.webp,https://www.naijanews.com/2024/04/25/inmates-flee-as-rainstorm-wreaks-havoc-at-suleja-prison/,"A  security breach occurred at the Suleja Correctional Facility in Niger State on Wednesday night when several inmates escaped during a heavy downpour. The rainfall, which..."
2 hours ago,Peter Obi Speaks On Forensic Audit On LP’s Accounts,https://www.naijanews.com/wp-content/uploads/2023/09/Peter-Obi--400x240.png.webp,https://www.naijanews.com/2024/04/25/peter-obi-speaks-on-forensic-audit-on-lps-accounts/,"The 2023 presidential candidate of the Labour Party (LP), Peter Obi, has said a forensic audit is currently being carried out on the party’s accounts in..."
2 hours ago,Why Nigeria’s Judiciary Needs Critical Reforms – Tinubu,https://www.naijanews.com/wp-content/uploads/2024/02/Bola-Tinubu-1-400x240.jpg.webp,https://www.naijanews.com/2024/04/25/why-nigerias-judiciary-needs-critical-reforms-tinubu/,President Bola Tinubu has said that the country’s judiciary needs critical reforms to address systemic challenges and serve Nigerians’ justice. Speaking at the National Summit on...
3 hours ago,"Nigerian Newspapers Daily Front Pages Review | Thursday 25th April, 2024",https://www.naijanews.com/wp-content/uploads/2018/08/Newspaper-headlines-400x240.png.webp,https://www.naijanews.com/2024/04/25/nigerian-newspapers-daily-front-pages-review-thursday-25th-april-2024/,Naija News looks at the top happenings making headlines on the front pages of Nigeria’s national newspapers today Thursday 25th April 2024. The PUNCH: Prices of...
3 hours ago,Tinubu’s Govt Suspends Dana Air License After Lagos Airport Incident,https://www.naijanews.com/wp-content/uploads/2024/04/Dana-Air-Plane-400x240.webp,https://www.naijanews.com/2024/04/25/tinubus-govt-suspends-dana-air-license-after-lagos-airport-incident/,President Bola Ahmed Tinubu-led government has announced the suspension of the Air Operators Certificate of Dana Air. This development was announced in a statement on Wednesday...
3 hours ago,Reps Speaker Reacts As Tinubu Launches Loan Scheme For All Nigerians,https://www.naijanews.com/wp-content/uploads/2024/04/Abbas-Tajudeen-400x240.jpg.webp,https://www.naijanews.com/2024/04/25/reps-speaker-reacts-as-tinubu-launches-loan-scheme-for-all-nigerians/,"The Speaker of the House of Representatives, Hon. Abbas Tajudeen, has commended President Bola Ahmed Tinubu for approving the first phase of the Consumer Credit Scheme...."
4 hours ago,"Electricity: 48 Hours Blackout Hits Gombe, Residents Lament",https://www.naijanews.com/wp-content/uploads/2019/12/Nationwide-blackout-400x240.jpg.webp,https://www.naijanews.com/2024/04/25/electricity-48-hours-blackout-hits-gombe-residents-lament/,"Residents of Gombe State are grappling with the consequences of an extended power outage that has now lasted over 48 hours, following the vandalism of four..."
4 hours ago,"Okuama-Ewu: Over 12 Residents Trapped In Forests Die Of Hunger, Sickness",https://www.naijanews.com/wp-content/uploads/2024/04/Okuama-massacre-400x240.webp,https://www.naijanews.com/2024/04/25/okuama-ewu-over-12-residents-trapped-in-forests-die-of-hunger-sickness/,"More than twelve residents of Okuama-Ewu community in Delta State have succumbed to hunger, sickness, and snake bites after being trapped in forests following a military..."
4 hours ago,‘Reckless Drivers Should Be Jailed’ – FRSC Advocates Jail Term For Erring Drivers,https://www.naijanews.com/wp-content/uploads/2024/04/Collage-Maker-04-Jan-2023-09.33-AM-400x240.jpg.webp,https://www.naijanews.com/2024/04/25/reckless-drivers-should-be-jailed-frsc-advocates-jail-term-for-erring-drivers/,"The Corps Marshal of the Federal Road Safety Corps (FRSC), Dauda Biu, has called for the implementation of stringent penalties, including jail terms for drivers found..."
14 hours ago,Rivers Govt Reacts As Four Commissioners Leave Fubara’s Cabinet,https://www.naijanews.com/wp-content/uploads/2023/12/6ea2ad2705fe59225110dc50454388f8-1-400x240.jpeg.webp,https://www.naijanews.com/2024/04/24/rivers-govt-reacts-as-four-commissioners-leave-fubaras-cabinet/,"Four Commissioner serving under Governor Siminalayi Fubara‘s administration in Rivers State, have resigned from the State Executive Council. Naija News understands that the Commissioner for Works,..."
15 hours ago,"Yahaya Bello, Okorocha, List Of Other Former Governors Who Put On A Show Over EFCC Arrest",https://www.naijanews.com/wp-content/uploads/2024/04/Screenshot_20240424_193204-400x240.jpg.webp,https://www.naijanews.com/2024/04/24/yahaya-bello-okorocha-list-of-other-former-governors-who-put-on-a-show-over-efcc-arrest/,"The chairman of the Economic and Financial Crimes Commission (EFCC), Ola Olukoyede has sworn that he would resign if the anti-graft agency fails to prosecute the..."
15 hours ago,Alleged Fraud: EFCC Withdraws Appeal Against Yahaya Bello,https://www.naijanews.com/wp-content/uploads/2024/04/Yahaya-Bello-vs-EFCC-400x240.png.webp,https://www.naijanews.com/2024/04/24/alleged-fraud-efcc-withdraws-appeal-against-yahaha-bello/,"The Economic and Financial Crimes Commission (EFCC) has withdrawn its application at the Court of Appeal against the embattled former Governor of Kogi State, Yahaya Bello...."
16 hours ago,Kenya Authorities Deny Arresting Binance Executive Who Escaped From Nigeria,https://www.naijanews.com/wp-content/uploads/2024/03/Nadeem-Anjarwalla-Binance-400x240.jpg.webp,https://www.naijanews.com/2024/04/24/just-in-kenya-authorities-deny-arresting-binance-executive-who-escaped-from-nigeria/,"Contrary to reports, Kenyan officials have denied the arrest of Nadeem Anjarwalla, a Binance executive wanted in Nigeria for tax evasion charges. Naija News understands that..."
16 hours ago,"Shun Money, I Am Making Right Decisions – Fubara Tells Rivers People",https://www.naijanews.com/wp-content/uploads/2024/04/Siminalayi-Fubara-speaking-e1713979724813-400x240.webp,https://www.naijanews.com/2024/04/24/shun-money-i-am-making-right-decisions-fubara-tells-rivers-people/,"The Governor of Rivers State, Siminalayi Fubara, has proudly asserted that he has consistently made sound decisions ever since assuming office. Recall that Fubara was sworn..."
16 hours ago,"EFCC Returns Recovered Assets To Enugu Gov, Peter Mba",https://www.naijanews.com/wp-content/uploads/2023/03/Peter-Mbah-1-400x240.jpg.webp,https://www.naijanews.com/2024/04/24/just-in-efcc-returns-recovered-assets-to-enugu-gov-peter-mba/,"The Economic and Financial Crimes Commission (EFCC) has transferred 14 recovered assets to Governor Peter Mba of Enugu State. The Chairman of the commission, Ola Olukoyede,..."
17 hours ago,Akpabio Proposes Punishment For Judges Misusing Ex Parte Order,https://www.naijanews.com/wp-content/uploads/2023/08/Godswill-Akpabio--400x240.jpg.webp,https://www.naijanews.com/2024/04/24/akpabio-proposes-punishment-for-judges-misusing-ex-parte-order/,"The president of the Nigerian Senate, Godswill Akpiabio, has suggested a decisive punishment for judges misusing ex parte orders, especially in addressing political matters. Naija News..."
17 hours ago,Why I Didn’t Build New Schools In Anambra As Governor – Peter Obi,https://www.naijanews.com/wp-content/uploads/2023/04/peter-obi-400x240.jpg.webp,https://www.naijanews.com/2024/04/24/why-i-didnt-build-new-schools-in-anambra-as-governor-peter-obi/,"The Labour Party (LP) presidential candidate in the 2023 election, Peter Obi, has responded to critics over his failure to build new schools when he was..."
